Kjønn,Alder,Antall,Årsverk,År,Utdanning
2,40,92.0,79.6661,2020,
2,41,83.0,71.2881,2020,
2,42,82.0,69.65704,2020,
2,43,73.0,63.189679999999996,2020,
2,44,70.0,59.5348,2020,
2,45,75.0,62.392720000000004,2020,
2,46,86.0,74.68580999999999,2020,
2,47,102.0,87.04682,2020,
2,48,97.0,80.67671999999999,2020,
2,49,111.0,94.87536,2020,
2,50,121.0,104.32779000000001,2020,
2,51,116.0,97.54264,2020,
2,52,112.0,94.21482,2020,
2,53,96.0,77.78904,2020,
2,54,111.0,91.976,2020,
2,55,108.0,86.86272,2020,
2,56,96.0,77.87979,2020,
2,57,99.0,80.18736,2020,
2,58,93.0,74.02508999999999,2020,
2,59,87.0,70.30408,2020,
2,60,77.0,59.31552,2020,
2,61,79.0,60.08828,2020,
2,62,74.0,47.91655,2020,
2,63,74.0,41.382239999999996,2020,
2,64,66.0,30.929340000000003,2020,
2,65,82.0,35.83146,2020,
2,66,71.0,21.609180000000002,2020,
2,67,66.0,13.208200000000001,2020,
2,68,71.0,10.64016,2020,
2,69,73.0,7.608440000000001,2020,
2,70,69.0,6.454890000000001,2020,
2,71,66.0,5.57612,2020,
2,72,69.0,3.8744,2020,
2,73,78.0,4.21828,2020,
2,74,80.0,3.60296,2020,
1,23,5.0,2.13052,2020,
1,24,17.0,10.68,2020,
1,25,33.0,24.452180000000002,2020,
1,26,49.0,38.62452,2020,
1,27,76.0,66.111,2020,
1,28,87.0,77.67887,2020,
1,29,98.0,89.77215,2020,
1,30,99.0,92.05494,2020,
1,31,105.0,98.02199999999999,2020,
1,32,100.0,96.30656,2020,
1,33,93.0,85.11272,2020,
1,34,68.0,63.33405,2020,
1,35,74.0,67.5507,2020,
1,36,73.0,68.76776,2020,
1,37,56.0,51.11267,2020,
1,38,67.0,65.07468,2020,
1,39,50.0,45.10637,2020,
1,40,42.0,37.44824,2020,
1,41,42.0,38.698800000000006,2020,
1,42,46.0,42.20304,2020,
1,43,39.0,34.90524,2020,
1,44,36.0,34.445949999999996,2020,
1,45,44.0,39.92394,2020,
1,46,51.0,47.53931,2020,
1,47,59.0,56.52861,2020,
1,48,67.0,63.04576,2020,
1,49,61.0,56.115,2020,
1,50,73.0,68.42779999999999,2020,
1,51,74.0,68.327,2020,
1,52,69.0,63.53886,2020,
1,53,66.0,60.57834,2020,
1,54,66.0,62.53002,2020,
1,55,56.0,52.60734,2020,
1,56,56.0,51.28174,2020,
1,57,47.0,42.153330000000004,2020,
1,58,45.0,39.543,2020,
1,59,37.0,31.988220000000002,2020,
1,60,29.0,24.88356,2020,
1,61,38.0,33.54678,2020,
1,62,26.0,19.66162,2020,
1,63,29.0,21.12987,2020,
1,64,24.0,13.69995,2020,
1,65,22.0,13.097850000000001,2020,
1,66,28.0,13.8048,2020,
1,67,29.0,8.855640000000001,2020,
1,68,22.0,7.3521,2020,
1,69,27.0,7.516,2020,
1,70,30.0,5.9412,2020,
1,71,28.0,5.4363600000000005,2020,
1,72,31.0,4.9770900000000005,2020,
1,73,30.0,5.237640000000001,2020,
1,74,29.0,1.92332,2020,
2,23,4.0,3.00096,2020,
2,24,15.0,8.765540000000001,2020,
2,25,45.0,36.029270000000004,2020,
2,26,72.0,61.57367,2020,
2,27,109.0,95.34824,2020,
2,28,116.0,104.37663,2020,
2,29,131.0,116.17684,2020,
2,30,128.0,112.98617,2020,
2,31,126.0,113.16239999999999,2020,
2,32,115.0,102.33972,2020,
2,33,106.0,89.92774,2020,
2,34,107.0,94.552,2020,
2,35,112.0,94.21101,2020,
2,36,101.0,84.53144,2020,
2,37,101.0,87.6204,2020,
2,38,83.0,71.27484,2020,
2,39,80.0,69.04125,2020,
2,40,92.0,79.6661,2020,
2,41,83.0,71.2881,2020,
2,42,82.0,69.65704,2020,
2,43,73.0,63.189679999999996,2020,
2,44,70.0,59.5348,2020,
2,45,75.0,62.392720000000004,2020,
2,46,86.0,74.68580999999999,2020,
2,47,102.0,87.04682,2020,
2,48,97.0,80.67671999999999,2020,
2,49,111.0,94.87536,2020,
2,50,121.0,104.32779000000001,2020,
2,51,116.0,97.54264,2020,
2,52,112.0,94.21482,2020,
2,53,96.0,77.78904,2020,
2,54,111.0,91.976,2020,
2,55,108.0,86.86272,2020,
2,56,96.0,77.87979,2020,
2,57,99.0,80.18736,2020,
2,58,93.0,74.02508999999999,2020,
2,59,87.0,70.30408,2020,
2,60,77.0,59.31552,2020,
2,61,79.0,60.08828,2020,
2,62,74.0,47.91655,2020,
2,63,74.0,41.382239999999996,2020,
2,64,66.0,30.929340000000003,2020,
2,65,82.0,35.83146,2020,
2,66,71.0,21.609180000000002,2020,
